,Tweets,class
0,صلاة الفجر خير لك من ترديد بول البعير وسبي النساء واغتصاب طفلة نظافة ونشاط وحيوية #عقلانيون,1
1,صراحة نفسي اشوف ولاد الوسخة اللي قالوا مدرب اجنبي منك لله ربنا ياخدك ي…  ,3
2,طيب! هي متبرجة وعبايتها ملونه وطالعة من بيتهم بدون .......  ,3
3,  انا اوافقك بخصوص السوريين و العراقيين اما بخصوص السعودي مو بحاجه انه يقعد بالكويت بدو…  ,0
4,هذه السعودية التي شعبها شعب الخيم و بول البعير  الذي يستهزأ بها الناس,0
5,ما عارف كنت شايفها منحرفة شديد وانا صغير ليه  ,3
6,  تخيل يرد عليك يقولك حسب معلوماتنا ان سكان الارض يشربون بول البعير,3
7,صباح التوكل على الله والسعي على رزقه والثقة فيما عنده #افريقيا_يا_اهلى,0
8,وانتي مال امك يا مطلقة يا بايرة ياوش قنوات  ,3
9,  الكردي كلب من يوم يومه بحاجة دائما لسيد وهلا اصبحتم خنازير اسرائيل بمرتبة الكلب,1
10, و مدعمتهاش ليه فى كاس العالم يا جبان يا وسخ,3
11,خنازير فعلت فعلاً ..,2
12,لكن حرمة متبرجة تقف على المسرح وتغني امام الر…  ,0
13,  ابن سلمان ابن ملك  بن ملك معروف من جد من لاب ومن الام رجال قهر خنازير المجوس وذنابها.…  ,-1
14,ي قصارية ي بايرة,3
15,يارب انصرنا #افريقيا_يا_اهلي,0
16,   واضح انكم تكذبوها ع سالفه ان الحريم يقعدن بالارض  ولا انا فهمت غلط ودرعمت؟,3
17,واحده بايره,2
18,  اعراب همج. ايش تتوقع من شاربين بول البعير,1
19,زمان كان الرجال فوق الخيل والحريم يتفرجون والان صا…  ,0
20,  انت اكبر المشردين بايع ارضك وعرضك وتتكلم على اسيادك السعودية  ي كلب ي مرتزق ي خنزير,1
21,جواب على متدخل من الحسيمة...فقد صوابه و بدأ يتكلم عن بول البعير..و  عن رحيل احباب العربية..لا اعرف اين؟ هل الى اورو…  ,3
22,   كتب الشيعة تطفح بروايات شرب بول البعير عن الصادق والكاظم أنتي قاعده تسبين الصا…  ,0
23,    يا شارب بول البعير روح خذ لك كاس بول بعير مصفى وأشربوا على شرف إللي ما عودو شرف بن خرفان,3
24,"الصور العارية واجسام البنات ومقاطع منحرفة ، ستشهد عليها الاصابع يوم القيامة ، كفاكم استهانة قالجنة اغلى",0
25,   يعني مش هيك بعبرو عن التحرش الجنسي بلبنان,3
26,  صح لسانك بس الكلب وفي وهذا خنزير نتن,1
27,   أمك وأختك هي بنت 100 خنزير يا شاربي بول البعير يا متخلفون,2
28,  والضرب في كسمك حلال مفيش حد يقدر يغلب مصري في الكلال كسمك ع كسمه ي شواذ ي ولاد الوسخة بتشك…  ,3
29,  نظف من النظافه مش نضف. وين دارس؟ مش عيب اللي بشرب بول البعير يعلمك ولو,0
30,   يازلمي أنت شو بتتعاطى. على الأرجح بول البعير,1
31, هذا لو كان عندهم عقل يفكروا به . بول البعير  جعلهم كالبهاءم,1
32,   كمن فسر الماء بالماء.. ياغبي العالم كله عرف انكم خنازير مو بس السعوديين.. رح الشبك…  ,1
33,  كلهم خنازير المجوس,1
34, هذا الكلب راضع من خنزير   هو مهندس السقوط النصراوي في الدوري,3
35,  اتذكر اول كنا ندرب الاطفال اللوكيميا كيف الدفاع عن النفس في حاله التحرش واخذنا انذارات وهوشه بسبب انن…  ,0
36,اللي يدخل في بيئه وسخه يتحمل عواقبها لحد ما يسير وسخ زيهم .,3
37,وحدة مناهضة التحرش والعنف ضد المرأة,0
38,والله هندوس ع وش اللي جابوهم السبت,3
39, ياشارب بول البعير العباسيين هم الهاشميين,3
40,بهيم الشاذ امه عاهره والده ديوث العائله كلها مشقوقه شق  ,2
41,"صحيح ، يوم كان علمنا ينير الأرض ويحسبه الأغبياء سحراً ، الإسلام سمح ببول البعير فقط في التداوي وهذا ما صدقه العلم ا…  ",0
